Auffälligkeiten:
- die kleineren Tasks checkcontrast, loadimage und wirteimage weichen weiterhin erheblich ab
- bei sobelv/sobelh  gibt es bei 2 core eine höhere Abweichung, bei 3 core teilweise wieder näher, aber einzelne Messungen weichen erheblich ab
- grundsätzlich - die drei Messungen müssten immer annähernd gleich sein

CPUFrequency;Parallelism;apptask;apptaskduration;apptaskpower;estimationOneToOne;estimationOneToMany;diffOneToOne;diffOneToMany
2200;2;sobelv;6553 MS;5375 MJ/MS;7119 MJ/MS;6926 MJ/MS;32.4465%;28.8558%;
2200;2;sobelv;6613 MS;5435 MJ/MS;7101 MJ/MS;6732 MJ/MS;30.6532%;23.8638%;

2200;2;combineimgs;4850 MS;6353 MJ/MS;5254 MJ/MS;6734 MJ/MS;-17.2989%;5.99717%;
2200;2;combineimgs;4915 MS;6323 MJ/MS;5220 MJ/MS;6740 MJ/MS;-17.4443%;6.59497%;
2200;2;combineimgs;4915 MS;6367 MJ/MS;5204 MJ/MS;6749 MJ/MS;-18.2661%;5.99969%;

2200;2;writeimage;4635 MS;7260 MJ/MS;6488 MJ/MS;4620 MJ/MS;-10.6336%;-36.3636%;
2200;2;writeimage;3991 MS;7262 MJ/MS;6400 MJ/MS;4596 MJ/MS;-11.87%;-36.7117%;
2200;2;writeimage;3983 MS;7262 MJ/MS;6399 MJ/MS;4588 MJ/MS;-11.8838%;-36.8218%;

2200;3;checkcontrast;16153 MS;4781 MJ/MS;6775 MJ/MS;5517 MJ/MS;41.7068%;15.3943%;
2200;3;checkcontrast;16124 MS;4759 MJ/MS;6785 MJ/MS;5639 MJ/MS;42.572%;18.4913%;
2200;3;checkcontrast;10783 MS;4741 MJ/MS;6824 MJ/MS;4688 MJ/MS;43.9359%;-1.11791%;

2200;3;loadimage;2723 MS;7977 MJ/MS;5897 MJ/MS;4874 MJ/MS;-26.075%;-38.8993%;
2200;3;loadimage;2686 MS;8121 MJ/MS;5619 MJ/MS;5033 MJ/MS;-30.809%;-38.0249%;
2200;3;loadimage;2431 MS;7907 MJ/MS;4406 MJ/MS;4875 MJ/MS;-44.2772%;-38.3458%;

2200;3;greyscale;4083 MS;8579 MJ/MS;7912 MJ/MS;5310 MJ/MS;-7.7748%;-38.1047%;
2200;3;greyscale;4188 MS;8498 MJ/MS;7656 MJ/MS;5060 MJ/MS;-9.90821%;-40.4566%;
2200;3;greyscale;4588 MS;8695 MJ/MS;7753 MJ/MS;7580 MJ/MS;-10.8338%;-12.8235%;

2200;3;sharpencontrast;4766 MS;8566 MJ/MS;5394 MJ/MS;5785 MJ/MS;-37.0301%;-32.4656%;
2200;3;sharpencontrast;4179 MS;8538 MJ/MS;5341 MJ/MS;6661 MJ/MS;-37.4444%;-21.9841%;
2200;3;sharpencontrast;4650 MS;8573 MJ/MS;5384 MJ/MS;6805 MJ/MS;-37.1982%;-20.6229%;

2200;3;copyimage;3929 MS;8557 MJ/MS;7777 MJ/MS;5402 MJ/MS;-9.11534%;-36.8704%;
2200;3;copyimage;4738 MS;8579 MJ/MS;7923 MJ/MS;7431 MJ/MS;-7.64658%;-13.3815%;
2200;3;copyimage;4164 MS;8508 MJ/MS;7908 MJ/MS;7357 MJ/MS;-7.05219%;-13.5284%;

2200;3;sobelh;6265 MS;7255 MJ/MS;7782 MJ/MS;7607 MJ/MS;7.26396%;4.85183%;
2200;3;sobelh;6405 MS;7194 MJ/MS;7807 MJ/MS;5071 MJ/MS;8.52099%;-29.5107%;
2200;3;sobelh;5858 MS;7212 MJ/MS;7766 MJ/MS;5144 MJ/MS;7.68164%;-28.6744%;

2200;3;sobelv;6037 MS;7129 MJ/MS;7792 MJ/MS;5109 MJ/MS;9.30004%;-28.335%;
2200;3;sobelv;5789 MS;7079 MJ/MS;7747 MJ/MS;7177 MJ/MS;9.43636%;1.38438%;
2200;3;sobelv;5622 MS;7187 MJ/MS;7821 MJ/MS;7466 MJ/MS;8.82148%;3.88201%;

2200;3;combineimgs;4731 MS;8616 MJ/MS;5642 MJ/MS;7320 MJ/MS;-34.5172%;-15.0418%;
2200;3;combineimgs;4926 MS;8610 MJ/MS;5662 MJ/MS;7497 MJ/MS;-34.2393%;-12.9268%;
2200;3;combineimgs;4594 MS;8551 MJ/MS;5658 MJ/MS;7463 MJ/MS;-33.8323%;-12.7237%;

2200;3;writeimage;5583 MS;7807 MJ/MS;6364 MJ/MS;4968 MJ/MS;-18.4834%;-36.3648%;
2200;3;writeimage;3959 MS;7729 MJ/MS;6297 MJ/MS;4999 MJ/MS;-18.5276%;-35.3215%;
2200;3;writeimage;6474 MS;7839 MJ/MS;6125 MJ/MS;5052 MJ/MS;-21.865%;-35.553%;

